City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fort st. john,56.2499,-120.8529,3.94,75,20,2.06,CA,1710692600
84,masterton,-40.9597,175.6575,12.71,94,97,0.47,NZ,1710692600
85,st. john's,47.5649,-52.7093,2.86,68,75,4.63,CA,1710692345
86,bredasdorp,-34.5322,20.0403,19.23,66,100,8.5,ZA,1710692601
87,constantia,44.1833,28.65,11.5,79,31,6.4,RO,1710692462
88,iqaluit,63.7506,-68.5145,-19.15,78,75,0.0,CA,1710692601
89,aasiaat,68.7098,-52.8699,-19.52,97,64,2.37,GL,1710692602
90,plaza huincul,-38.926,-69.2086,21.88,11,64,2.77,AR,1710692421
91,stanley,54.868,-1.6985,13.77,89,40,2.06,GB,1710692595
92,kavaratti,10.5669,72.642,27.91,72,13,5.1,IN,1710692602
93,berdigestyakh,62.0989,126.6992,-28.35,100,54,0.76,RU,1710692603
94,alofi,-19.0595,-169.9187,25.94,94,100,1.54,NU,1710692603
95,camana,-16.6228,-72.7111,24.5,83,100,3.68,PE,1710692603
96,nelson bay,-32.7167,152.15,20.0,97,98,1.79,AU,1710692604
97,tazovsky,67.4667,78.7,-8.3,93,100,7.57,RU,1710692604
98,tromso,69.6496,18.957,-2.99,68,75,9.26,NO,1710692383
99,isafjordur,66.0755,-23.124,-3.98,80,75,12.35,IS,1710692604
100,ciudad sabinas hidalgo,26.5,-100.1667,19.95,83,100,2.98,MX,1710692604
101,puerto deseado,-47.7503,-65.8938,12.87,31,3,9.36,AR,1710692482
102,bousso,10.4795,16.7117,40.62,11,85,2.39,TD,1710692605
103,nurota,40.5614,65.6886,15.37,38,100,0.97,UZ,1710692334
104,kangding,30.0513,101.9603,4.99,79,63,1.09,CN,1710692605
105,kodiak,57.79,-152.4072,-1.27,80,0,4.63,US,1710692606
106,hadibu,12.65,54.0333,25.82,67,0,4.8,YE,1710692606
107,byron bay,-28.65,153.6167,20.39,86,42,2.59,AU,1710692606
108,invercargill,-46.4,168.35,10.57,85,83,4.92,NZ,1710692599
109,cabo san lucas,22.8909,-109.9124,22.01,69,0,1.54,MX,1710691873
110,whitehorse,60.7161,-135.0538,4.43,70,20,4.63,CA,1710692607
111,i-n-salah,27.1935,2.4607,29.64,11,0,6.72,DZ,1710692607
112,muang xay,20.7,101.9833,23.34,39,4,1.02,LA,1710692607
113,margaret river,-33.95,115.0667,16.88,84,1,5.38,AU,1710692607
114,litchfield,41.7668,-73.2501,12.56,55,72,1.79,US,1710692608
115,longyearbyen,78.2186,15.6401,-22.09,64,20,0.0,SJ,1710692479
116,churachandpur,24.3333,93.6667,16.05,53,0,0.94,IN,1710692382
117,olonkinbyen,70.9221,-8.7187,-6.09,87,100,14.3,SJ,1710692608
118,kapoeta,4.7717,33.5903,35.63,22,5,7.23,SS,1710692609
119,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,0.0,EC,1710692407
120,amahai,-3.3333,128.9167,26.64,82,100,2.32,ID,1710692539
121,bikenibeu village,1.3673,173.1241,27.98,89,40,4.12,KI,1710692609
122,kloulklubed,7.0419,134.2556,25.28,79,85,6.79,PW,1710692609
123,karasburg,-28.0167,18.75,36.29,10,5,5.99,NA,1710692610
124,wailua homesteads,22.0669,-159.378,18.44,73,100,6.69,US,1710692610
125,bilibino,68.0546,166.4372,-24.9,81,16,1.77,RU,1710692611
126,diu,20.7141,70.9822,24.39,66,1,3.98,IN,1710692611
127,turbat,26.0023,63.044,26.49,35,68,3.33,PK,1710692611
128,saldanha,-33.0117,17.9442,28.03,64,68,5.29,ZA,1710692611
129,punta arenas,-53.15,-70.9167,6.06,70,75,11.32,CL,1710692521
130,sansanne-mango,10.3592,0.4708,42.78,5,25,1.79,TG,1710692612
131,kiskoros,46.6214,19.2853,12.75,42,0,5.03,HU,1710692612
132,luderitz,-26.6481,15.1594,20.76,70,0,5.98,NA,1710692612
133,mejit,10.2753,170.8646,26.73,78,100,7.22,MH,1710692613
134,bubaque,11.2833,-15.8333,26.51,66,3,5.73,GW,1710692613
135,west island,-12.1568,96.8225,24.99,83,23,0.51,CC,1710692613
136,chernigovka,44.3389,132.5728,-5.68,71,96,3.98,RU,1710692613
137,swakopmund,-22.6833,14.5333,17.21,82,54,4.02,NA,1710692613
138,tiksi,71.6872,128.8694,-27.83,97,48,3.11,RU,1710692614
139,labytnangi,66.6572,66.4183,-7.08,74,89,11.44,RU,1710692437
140,afaahiti,-17.75,-149.2833,24.93,78,51,0.74,PF,1710692614
141,georgetown,5.4112,100.3354,27.96,88,20,0.51,MY,1710692570
142,dudinka,69.4058,86.1778,-15.21,93,100,4.02,RU,1710692615
143,port saint john's,-31.6229,29.5448,19.78,85,100,1.8,ZA,1710692615
144,iskateley,67.6803,53.1512,-8.32,92,83,4.47,RU,1710692615
145,horta,38.5333,-28.6333,16.8,79,20,8.94,PT,1710692615
146,ekibastuz,51.6667,75.3667,-3.12,84,33,3.06,KZ,1710692616
147,sarykemer,43.0,71.5,3.71,55,17,0.91,KZ,1710692616
148,zhumysker,49.3333,49.4,3.87,78,100,1.42,KZ,1710692616
149,san patricio,28.017,-97.5169,23.05,74,27,3.67,US,1710692616
150,jijiga,9.35,42.8,24.57,43,3,8.7,ET,1710692616
151,lerwick,60.1545,-1.1494,7.0,94,100,13.38,GB,1710692617
152,mahriz,31.5917,54.4318,19.28,31,0,1.3,IR,1710692617
153,cuamba,-14.8031,36.5372,22.66,89,25,1.13,MZ,1710692617
154,hermanus,-34.4187,19.2345,21.0,65,100,9.86,ZA,1710692618
155,rio grande,-32.035,-52.0986,28.06,79,53,6.26,BR,1710692618
156,constitucion,-35.3333,-72.4167,19.14,48,8,6.37,CL,1710692618
157,codrington,-38.2667,141.9667,18.98,57,0,5.79,AU,1710692618
158,colonia,50.9333,6.95,15.79,58,0,4.63,DE,1710692569
159,moussoro,13.6408,16.4901,36.46,9,29,6.47,TD,1710692619
160,santa terezinha,-29.9002,-50.0904,26.24,76,92,3.87,BR,1710692619
161,argostolion,38.1811,20.489,17.04,60,20,4.63,GR,1710692619
162,freetown,8.484,-13.2299,28.95,71,9,5.47,SL,1710692620
163,sumbawa besar,-8.5,117.4333,23.87,98,100,1.27,ID,1710692620
164,praia da vitoria,38.7333,-27.0667,19.14,59,20,7.56,PT,1710692620
165,thompson,55.7435,-97.8558,-18.91,60,20,5.14,CA,1710692620
166,ensenada,31.8667,-116.6167,13.3,74,1,1.0,MX,1710692620
167,polatsk,55.4859,28.7756,1.98,97,100,1.7,BY,1710692397
168,osakarovka,50.565,72.5692,-10.79,84,7,1.86,KZ,1710692621
169,sandnessjoen,66.0217,12.6316,2.06,51,0,2.57,NO,1710692621
170,broken hill,-31.95,141.4333,21.02,66,45,4.01,AU,1710692621
171,zhangjiakou,40.81,114.8794,4.31,38,84,1.99,CN,1710692622
172,rongelap,11.1635,166.8941,26.56,76,100,2.56,MH,1710692622
173,roswell,34.0232,-84.3616,18.01,64,100,4.12,US,1710692369
174,ribeira grande,38.5167,-28.7,17.22,77,20,8.94,PT,1710692622
175,susuman,62.7833,148.1667,-23.06,100,86,1.33,RU,1710692623
176,ulaangom,49.9811,92.0667,-14.69,86,90,1.72,MN,1710692623
177,arno,60.1167,18.6333,-1.23,65,2,8.14,SE,1710692623
178,necochea,-38.5473,-58.7368,24.6,29,0,5.8,AR,1710692419
179,sao felix do xingu,-6.6447,-51.995,27.13,94,78,1.36,BR,1710692623
180,wynyard,-41.0,145.7167,17.01,92,69,5.62,AU,1710692624
181,petropavlovsk-kamchatsky,53.0452,158.6483,-2.53,86,75,22.35,RU,1710692585
182,port isabel,26.0734,-97.2086,28.02,83,75,3.6,US,1710692625
183,tindouf,27.6711,-8.1474,33.25,9,20,8.23,DZ,1710692625
184,karasu,41.071,30.7854,8.25,85,29,2.89,TR,1710692558
185,yaren,-0.5472,166.916,28.06,74,95,1.88,NR,1710692626
186,katsuura,35.1333,140.3,14.31,78,100,7.12,JP,1710692626
187,christchurch,-43.5333,172.6333,12.19,82,100,4.12,NZ,1710692627
188,dickinson,29.4608,-95.0513,23.42,91,75,2.06,US,1710692536
189,kas,36.2018,29.6377,14.98,76,79,0.99,TR,1710692627
190,magadan,59.5667,150.8,-2.48,85,100,7.74,RU,1710692627
191,port douglas,-16.4833,145.4667,26.11,93,100,4.43,AU,1710692628
192,mugia,43.1041,-9.2179,16.06,98,100,2.49,ES,1710692628
193,nishinoomote,30.7333,131.0,16.74,74,11,9.65,JP,1710692628
194,halmstad,56.6745,12.8568,6.68,38,12,4.12,SE,1710692629
195,veinticinco de mayo,-35.4323,-60.1727,25.55,73,0,1.79,AR,1710692629
196,jalqani,12.4486,34.2186,38.59,19,14,2.39,SD,1710692629
197,hannibal,39.7084,-91.3585,6.37,45,75,4.63,US,1710692356
198,arkhangel'sk,64.5401,40.5433,-4.37,67,40,3.0,RU,1710692751
199,enewetak,11.3474,162.3373,26.21,79,100,2.38,MH,1710692751
200,ormara,25.2088,64.6357,24.38,61,4,3.6,PK,1710692751
201,marang,5.2056,103.2059,27.95,81,86,2.36,MY,1710692751
